NCD pAvals pCvals pp pc Dprime Method r2value sd Method2
100Ha 0.35 0.35 0.35-0.35 0.35 0.4 Ha 0.404 0.072 Ha100Ha
300Ha 0.35 0.35 0.35-0.35 0.35 0.4 Ha 0.402 0.042 Ha300Ha
900Ha 0.35 0.35 0.35-0.35 0.35 0.4 Ha 0.4 0.024 Ha900Ha
1800Ha 0.35 0.35 0.35-0.35 0.35 0.4 Ha 0.4 0.017 Ha1800Ha
2700Ha 0.35 0.35 0.35-0.35 0.35 0.4 Ha 0.4 0.014 Ha2700Ha
100Ha 0.05 0.45 0.05-0.45 0.25 0.4 Ha 0.403 0.089 Ha100Ha
300Ha 0.05 0.45 0.05-0.45 0.25 0.4 Ha 0.4 0.052 Ha300Ha
900Ha 0.05 0.45 0.05-0.45 0.25 0.4 Ha 0.401 0.03 Ha900Ha
1800Ha 0.05 0.45 0.05-0.45 0.25 0.4 Ha 0.4 0.021 Ha1800Ha
2700Ha 0.05 0.45 0.05-0.45 0.25 0.4 Ha 0.4 0.017 Ha2700Ha
100Ha 0.15 0.45 0.15-0.45 0.3 0.4 Ha 0.403 0.079 Ha100Ha
300Ha 0.15 0.45 0.15-0.45 0.3 0.4 Ha 0.402 0.046 Ha300Ha
900Ha 0.15 0.45 0.15-0.45 0.3 0.4 Ha 0.4 0.027 Ha900Ha
1800Ha 0.15 0.45 0.15-0.45 0.3 0.4 Ha 0.4 0.019 Ha1800Ha
2700Ha 0.15 0.45 0.15-0.45 0.3 0.4 Ha 0.4 0.016 Ha2700Ha
100Ha 0.25 0.45 0.25-0.45 0.35 0.4 Ha 0.404 0.074 Ha100Ha
300Ha 0.25 0.45 0.25-0.45 0.35 0.4 Ha 0.402 0.043 Ha300Ha
900Ha 0.25 0.45 0.25-0.45 0.35 0.4 Ha 0.4 0.025 Ha900Ha
1800Ha 0.25 0.45 0.25-0.45 0.35 0.4 Ha 0.401 0.017 Ha1800Ha
2700Ha 0.25 0.45 0.25-0.45 0.35 0.4 Ha 0.4 0.014 Ha2700Ha
100Ha 0.35 0.45 0.35-0.45 0.4 0.4 Ha 0.404 0.071 Ha100Ha
300Ha 0.35 0.45 0.35-0.45 0.4 0.4 Ha 0.401 0.041 Ha300Ha
900Ha 0.35 0.45 0.35-0.45 0.4 0.4 Ha 0.4 0.024 Ha900Ha
1800Ha 0.35 0.45 0.35-0.45 0.4 0.4 Ha 0.4 0.017 Ha1800Ha
2700Ha 0.35 0.45 0.35-0.45 0.4 0.4 Ha 0.4 0.014 Ha2700Ha
100Ha 0.45 0.45 0.45-0.45 0.45 0.4 Ha 0.402 0.069 Ha100Ha
300Ha 0.45 0.45 0.45-0.45 0.45 0.4 Ha 0.401 0.04 Ha300Ha
900Ha 0.45 0.45 0.45-0.45 0.45 0.4 Ha 0.4 0.023 Ha900Ha
1800Ha 0.45 0.45 0.45-0.45 0.45 0.4 Ha 0.4 0.017 Ha1800Ha
2700Ha 0.45 0.45 0.45-0.45 0.45 0.4 Ha 0.4 0.014 Ha2700Ha
100Ha 0.05 0.05 0.05-0.05 0.05 0.6 Ha 0.604 0.168 Ha100Ha
300Ha 0.05 0.05 0.05-0.05 0.05 0.6 Ha 0.603 0.095 Ha300Ha
900Ha 0.05 0.05 0.05-0.05 0.05 0.6 Ha 0.601 0.055 Ha900Ha
1800Ha 0.05 0.05 0.05-0.05 0.05 0.6 Ha 0.599 0.039 Ha1800Ha
2700Ha 0.05 0.05 0.05-0.05 0.05 0.6 Ha 0.6 0.032 Ha2700Ha
100Ha 0.05 0.15 0.05-0.15 0.1 0.6 Ha 0.603 0.121 Ha100Ha
300Ha 0.05 0.15 0.05-0.15 0.1 0.6 Ha 0.6 0.069 Ha300Ha
900Ha 0.05 0.15 0.05-0.15 0.1 0.6 Ha 0.599 0.04 Ha900Ha
1800Ha 0.05 0.15 0.05-0.15 0.1 0.6 Ha 0.601 0.028 Ha1800Ha
